kommune,k1to5,men_muni_pct,men_hed_share,workforce_mwr,income_mwr,ptwork_r,ffquota_share,busbal_lev,pubsec_bal,privsec_bal,leader_dist,secscho_bal
Etnedal,0.9,0.93,0.52,0.94,0.92,0.36,0.58,0.51,0.56,0.55,0.63,0.5
Nord-Aurdal,0.87,0.96,0.65,0.97,0.76,0.47,0.74,0.6,0.56,0.73,0.72,0.63
Vestre Slidre,0.87,0.59,0.62,0.91,0.76,0.39,0.78,0.53,0.56,0.7,0.73,0.55
Øystre Slidre,0.94,0.86,0.6,0.97,0.81,0.5,0.81,0.57,0.51,0.77,0.71,0.59
Vang,0.93,0.47,0.62,0.96,0.86,0.44,0.71,0.52,0.55,0.59,0.8,0.63
Drammen,0.89,0.9,0.9,0.9,0.66,0.45,0.62,0.65,0.59,0.76,0.68,0.69
Kongsberg,0.95,0.8,1,0.91,0.63,0.32,0.71,0.57,0.5,0.72,0.69,0.66
Ringerike,0.91,0.88,0.76,0.93,0.7,0.46,0.71,0.58,0.58,0.73,0.65,0.67
Hole,0.96,0.78,0.83,0.92,0.63,0.37,0.73,0.62,0.59,0.76,0.62,0.74
Flå,0.9,0.46,0.74,0.95,0.72,0.33,0.74,0.5,0.52,0.71,0.88,0.54
Nes (Busk.),0.9,0.67,0.73,0.99,0.67,0.34,0.66,0.5,0.47,0.68,0.82,0.69
Gol,0.9,0.95,0.65,0.96,0.7,0.34,0.77,0.58,0.51,0.74,0.68,0.63
Hemsedal,0.92,0.59,0.56,0.98,0.72,0.38,0.82,0.58,0.38,0.67,0.82,0.71
Ål,0.89,0.88,0.73,0.96,0.63,0.44,0.83,0.53,0.58,0.64,0.73,0.65
Hol,0.91,0.86,0.75,0.98,0.69,0.42,0.65,0.57,0.6,0.75,0.76,0.67
Sigdal,0.95,0.67,0.51,0.95,0.57,0.33,0.81,0.46,0.4,0.7,0.68,0.58
Krødsherad,0.86,0.82,0.72,0.95,0.6,0.37,0.82,0.5,0.47,0.7,0.77,0.59
Modum,0.81,0.69,0.66,0.91,0.71,0.35,0.59,0.51,0.52,0.69,0.71,0.64
Øvre Eiker,0.91,0.65,0.72,0.91,0.67,0.35,0.68,0.53,0.5,0.7,0.64,0.63
Nedre Eiker,0.87,0.88,0.79,0.92,0.67,0.39,0.64,0.58,0.5,0.73,0.64,0.64
Lier,0.94,0.98,0.82,0.93,0.66,0.41,0.69,0.61,0.59,0.76,0.62,0.71
Røyken,0.87,0.89,0.79,0.95,0.68,0.38,0.77,0.6,0.58,0.77,0.68,0.71
Hurum,0.9,0.9,0.78,0.89,0.68,0.38,0.66,0.58,0.58,0.74,0.69,0.68
Flesberg,0.81,0.86,0.71,0.94,0.64,0.29,0.72,0.47,0.46,0.64,0.49,0.56
Rollag,0.92,0.71,0.66,0.93,0.73,0.33,0.73,0.44,0.41,0.51,0.92,0.62
Nore og Uvdal,0.82,0.87,0.67,0.97,0.76,0.37,0.8,0.46,0.48,0.6,0.65,0.52
Horten,0.87,0.98,0.92,0.91,0.67,0.42,0.64,0.61,0.62,0.71,0.6,0.7
Holmestrand,0.92,0.74,0.76,0.88,0.68,0.36,0.72,0.56,0.53,0.72,0.7,0.71
Tønsberg,0.9,0.97,0.84,0.93,0.66,0.44,0.71,0.63,0.6,0.74,0.63,0.73
Sandefjord (-2016),0.9,0.72,0.88,0.9,0.61,0.43,0.64,0.62,0.55,0.77,0.63,0.71
Larvik,0.9,0.51,0.78,0.92,0.66,0.43,0.66,0.59,0.54,0.72,0.57,0.68
Svelvik,0.86,0.72,0.72,0.89,0.69,0.41,0.7,0.55,0.46,0.72,0.73,0.67
Sande (Vestf.),0.91,0.64,0.74,0.91,0.66,0.32,0.74,0.54,0.46,0.69,0.58,0.66
Hof,0.83,0.94,0.73,0.93,0.67,0.27,0.6,0.51,0.54,0.64,0.52,0.73
Re,0.88,0.56,0.65,0.91,0.68,0.36,0.73,0.55,0.47,0.67,0.54,0.65
Andebu (-2016),0.81,0.96,0.63,0.9,0.65,0.36,0.73,0.5,0.37,0.71,0.55,0.64
Stokke (-2016),0.9,0.83,0.74,0.92,0.65,0.37,0.71,0.57,0.51,0.69,0.6,0.69
Nøtterøy,0.96,0.8,0.88,0.94,0.61,0.4,0.73,0.63,0.57,0.75,0.62,0.74
Tjøme,0.84,0.95,0.82,0.93,0.67,0.39,0.6,0.6,0.63,0.7,0.7,0.73
Lardal,0.92,0.59,0.65,0.92,0.64,0.31,0.83,0.52,0.43,0.63,0.89,0.63
Porsgrunn,0.95,0.69,0.84,0.92,0.66,0.37,0.68,0.58,0.54,0.72,0.7,0.66
Skien,0.86,0.8,0.78,0.93,0.7,0.4,0.65,0.59,0.57,0.72,0.69,0.69
Notodden,0.92,0.68,0.68,0.95,0.7,0.43,0.62,0.54,0.54,0.65,0.62,0.66
